itemID|pop|rank_main_topic
21310|3.0|595.0
73018|100.0|1.0
19194|268.0|32.0
40250|380.0|2.0
46107|61.0|22.0
34217|102.0|74.0
31436|74.0|183.0
14576|78.0|14.0
17731|38.0|218.0
58723|48.0|111.0
73124|180.0|2.0
33976|8.0|365.0
2408|27.0|366.0
30277|10.0|16.0
29508|38.0|9.0
75659|8.0|12.0
55699|2253.0|1.0
62433|6.0|65.0
72603|57.0|32.0
11989|20.0|226.0
11117|34.0|162.0
73865|11.0|1.0
15581|753.0|10.0
4892|511.0|17.0
44815|113.0|84.0
63847|202.0|40.0
3106|72.0|9.0
4283|23.0|24.0
63166|1034.0|2.0
44220|3107.0|1.0
54393|4.0|630.0
64544|718.0|2.0
55796|417.0|20.0
6942|281.0|36.0
23197|655.0|1.0
2417|705.0|11.0
57800|773.0|2.0
11525|605.0|3.0
12143|130.0|6.0
42285|12.0|567.0
41198|1225.0|1.0
43845|118.0|26.0
62630|2.0|752.0
25330|12.0|86.0
5368|10.0|84.0
46998|2437.0|1.0
2253|1213.0|4.0
52878|5.0|404.0
53706|19.0|146.0
26528|16.0|156.0
7464|372.0|1.0
30953|16.0|190.0
72543|83.0|88.0
13855|38.0|306.0
65634|62.0|87.0
59843|20.0|441.0
71896|30.0|327.0
56766|45.0|117.0
75990|14.0|258.0
66314|610.0|14.0
6422|13.0|95.0
65865|50.0|75.0
12633|68.0|55.0
1713|727.0|6.0
69584|36.0|109.0
63299|292.0|17.0
10666|2702.0|1.0
62464|10.0|136.0
30497|10.0|621.0
35114|6.0|729.0
60628|99.0|116.0
31091|127.0|87.0
54132|65.0|97.0
14207|1143.0|1.0
809|48.0|224.0
73840|456.0|1.0
31293|440.0|18.0
43652|33.0|138.0
16927|32.0|146.0
38013|139.0|47.0
69262|443.0|16.0
48446|395.0|24.0
7512|26.0|8.0
42408|28.0|385.0
49921|56.0|227.0
71747|168.0|4.0
22212|623.0|7.0
78837|408.0|22.0
23115|1.0|6.0
36339|879.0|1.0
34873|35.0|93.0
34965|693.0|1.0
38171|114.0|6.0
33208|10.0|459.0
40673|3.0|22.0
78643|1415.0|2.0
73628|102.0|33.0
32594|83.0|2.0
19070|434.0|17.0
40949|1.0|14.0
36495|513.0|2.0
23654|3506.0|2.0
48285|432.0|23.0
27488|86.0|4.0
77371|5.0|233.0
69849|11.0|440.0
44331|524.0|1.0
33258|288.0|2.0
4449|71.0|23.0
46389|299.0|12.0
14526|1559.0|2.0
62556|710.0|3.0
69185|2610.0|1.0
38931|515.0|1.0
44168|80.0|13.0
31995|563.0|3.0
25620|251.0|23.0
21235|32.0|311.0
63730|1600.0|2.0
2835|61.0|152.0
21526|164.0|8.0
56753|209.0|5.0
72081|576.0|4.0
47205|14.0|27.0
40913|34.0|155.0
11743|830.0|8.0
66553|113.0|105.0
74094|601.0|1.0
9865|283.0|7.0
26296|470.0|4.0
67315|191.0|3.0
38123|2085.0|1.0
11084|28.0|24.0
36594|100.0|3.0
25809|31.0|20.0
19898|20.0|42.0
66150|22.0|35.0
33070|52.0|172.0
73604|275.0|29.0
24770|1156.0|3.0
22579|212.0|29.0
9972|85.0|111.0
41474|94.0|123.0
45331|65.0|171.0
14306|68.0|161.0
71577|18.0|177.0
44954|63.0|133.0
32458|815.0|9.0
